FOODID;FOODNAME;FOODTYPE;PROCESS;EDPORT;IGCLASS;IGCLASSP;FUCLASS;FUCLASSP
565;RASVASEOS 40%, KEVYT LEVI, VÄHEMMÄN SUOLAA , VL;FOOD;IND;100;BUTTMIX;FATTOT;BRFLOWF;FATTOT
568;MARGARIINI 60%, RAINBOW/PIRKKA/ELDORADO;FOOD;IND;100;FATVEG;FATTOT;BRFMARG;FATTOT
570;RASVASEOS 40%, KEVYT LEVI VL;FOOD;IND;100;BUTTMIX;FATTOT;BRFLOWF;FATTOT
572;MARGARIINI 40%, LÄTTA;FOOD;IND;100;FATLVEG;FATTOT;BRFLOWF;FATTOT
576;VOI, SUOLATON;FOOD;IND;100;BUTTMIX;FATTOT;BRFBUTT;FATTOT
578;MAJONEESI, RASVAA 27-33 %;FOOD;IND;100;FATOTH;FATTOT;DRESSING;FATTOT
579;SALAATINKASTIKE, RASVAA <17%, VÄHÄRASVAINEN;FOOD;IND;100;FATOTH;FATTOT;DRESSING;FATTOT
585;VOI, VOIMAKASSUOLAINEN;FOOD;IND;100;BUTTMIX;FATTOT;BRFBUTT;FATTOT
586;RASVASEOS 80%, VOIMAKASSUOLAINEN;FOOD;IND;100;BUTTMIX;FATTOT;BRFBUTT;FATTOT
593;LEIVONTAMARGARIINI 80%, PIRKKA/RAINBOW/ELDORADO;FOOD;IND;100;FATHARD;FATTOT;FATPROD;FATTOT
597;RASVASEOSLEVITE 75%;FOOD;IND;100;BUTTMIX;FATTOT;BRFBUTT;FATTOT
598;VOIÖLJY 100%, MAITORASVAA;FOOD;IND;100;BUTTMIX;FATTOT;BRFBUTT;FATTOT
599;KASVIRASVALEVITE 32%, BENECOL KEVYT;FOOD;IND;100;FATLVEG;FATTOT;BRFLOWF;FATTOT
600;MAITO, TILAMAITO, RAAKAMAITO, RASVAA 4,4 %, EI LISÄTTY D-VITAMIINIA;FOOD;RAW;100;MILK;MILKTOT;MILKHF;MILKDTOT
602;TERNIMAITO;FOOD;RAW;100;MILK;MILKTOT;MILKHF;MILKDTOT
604;MAITO, KUTUNMAITO, VUOHENMAITO;FOOD;IND;100;MILK;MILKTOT;MILKHF;MILKDTOT
606;RASVATON MAITO, D-VITAMIINIA 1 UG;FOOD;IND;100;MILK;MILKTOT;MILKFF;MILKDTOT
611;PIIMÄ, TALOUSPIIMÄ, RASVAA 0,8 %, D-VIT 0,5 UG;FOOD;IND;100;SMILK;MILKTOT;SMILK;MILKDTOT
612;PIIMÄ, RASVATON, D-VIT 1 UG;FOOD;IND;100;SMILK;MILKTOT;SMILK;MILKDTOT
613;PIIMÄ, KIRNUPIIMÄ, RASVAA 0,3 %, D-VIT 1 UG;FOOD;IND;100;SMILK;MILKTOT;SMILK;MILKDTOT
615;KERMAVIILI, RASVAA 10-12%;FOOD;IND;100;CREAM;MILKTOT;MILKSAUC;MILKDTOT
616;PIIMÄ, ASIDOFILUSPIIMÄ, RASVAA 2,5 %, D-VIT 1 UG, PROBIOOTTEJA;FOOD;IND;100;SMILK;MILKTOT;SMILK;MILKDTOT
617;VIILI, MAUSTAMATON, RASVAA 3,5 %;FOOD;IND;100;SMILK;MILKTOT;MILKCURL;MILKDTOT
618;VIILI, MAUSTAMATON, KEVYTVIILI, RASVAA 2 %;FOOD;IND;100;SMILK;MILKTOT;MILKCURL;MILKDTOT
619;JOGURTTI, MAUSTAMATON, RASVAA 2,5 %, VL;FOOD;IND;100;SMILK;MILKTOT;YOGHURT;MILKDTOT
622;RAHKA, MAITORAHKA, MAUSTAMATON, RASVAA  <0,5 %;FOOD;IND;100;SMILK;MILKTOT;SMILK;MILKDTOT
627;YKKÖSMAITO, RASVAA 1 %, D-VITAMIINIA 1UG;FOOD;IND;100;MILK;MILKTOT;MILKLF;MILKDTOT
628;CREME FRAICHE, RANSKANKERMA, RASVAA 28 %;FOOD;IND;100;CREAM;MILKTOT;MILKSAUC;MILKDTOT
629;KERMA, VISPIKERMA, RASVAA 38 % ,VL, ISKUKUUMENNETTU;FOOD;IND;100;CREAM;MILKTOT;MILKHF;MILKDTOT
630;SMETANA, RASVAA N. 40 %;FOOD;IND;100;CREAM;MILKTOT;MILKSAUC;MILKDTOT
632;RUOANVALMISTUSKERMA, RASVAA 19 %, KAHVIKERMA;FOOD;IND;100;CREAM;MILKTOT;MILKHF;MILKDTOT
